Virus,IFN state,Replicate,IFNB1
Virus 1,IFN enriched,1,4.84765332
Virus 1,IFN enriched,2,3.627852
Virus 1,IFN enriched,3,8.16743139
Virus 1,IFN enriched,4,5.40899272
Virus 1,IFN depleted,1,0.11353267
Virus 1,IFN depleted,2,0.06769613
Virus 1,IFN depleted,3,0.12800679
Virus 1,IFN depleted,4,0.11700516
Virus 2,IFN enriched,1,1.53458584
Virus 2,IFN enriched,2,1.04685733
Virus 2,IFN enriched,3,2.37495786
Virus 2,IFN enriched,4,1.5261852
Virus 2,IFN depleted,1,0.07212666
Virus 2,IFN depleted,2,0.05969776
Virus 2,IFN depleted,3,0.03509079
Virus 2,IFN depleted,4,0.03334241
